"","d0_11","d0_13","d0_14","d0_2","d0_20","d0_22","d0_3","d0_4","d0_5","d0_6","d0_7","d0_8","d14_10","d14_11","d14_13","d14_14","d14_16","d14_17","d14_20","d14_22","d14_24","d14_25","d14_26","d14_4","d14_5","d14_6","d14_7","d14_8","d7_10","d7_11","d7_12","d7_13","d7_16","d7_17","d7_2","d7_20","d7_22","d7_24","d7_25","d7_26","d7_27","d7_3","d7_4","d7_5","d7_6","d7_7","d7_8"
"d0_7",0.894117647058824,0.923257635082224,0.94063727629856,0.924787707238172,0.891151135473767,0.92156862745098,0.898198903680501,0.893458676067372,0.89193422083007,0.970242756460454,0,0.926389976507439,0.93265465935787,0.985904463586531,0.962948364209697,0.93265465935787,0.927001569858713,0.925519404155233,0.986687548942835,0.873923257635082,0.884751078008624,0.927956147220047,0.951082598235766,0.890239121912975,0.981989036805012,0.931871574001566,0.916209866875489,0.944400939702428,0.919342208300705,0.942051683633516,0.929522317932655,0.857478465152702,0.978073610023493,0.914643696162882,0.967110415035239,0.949882537196554,0.974941268598277,0.889584964761159,0.97874852420307,0.96769109535067,0.949882537196554,0.948316366483947,0.895066562255286,0.947533281127643,0.939702427564605,0.667188723570869,0.940485512920908
"d0_8",0.836862745098039,0.924823805794832,0.903099083369708,0.877072381722604,0.851213782302271,0.88078431372549,0.808927173061864,0.768899334116725,0.805794831636648,0.855912294440094,0.926389976507439,0,0.988253719655442,0.915426781519186,0.939298383918013,0.996084573218481,0.868131868131868,0.950607604860839,0.984338292873923,0.927173061863743,0.841630733045864,0.945184025058731,0.906976744186046,0.904351234809878,0.945967110415035,0.841816758026625,0.950665622552858,0.85512920908379,0.879404855129209,0.837901331245106,0.847298355520752,0.925606891151135,0.966327329678935,0.878621769772905,0.9796397807361,0.89584964761159,0.971025841816758,0.91229444009397,0.962219598583235,0.955870764381403,0.91229444009397,0.896632732967893,0.881754111198121,0.894283476898982,0.916992952231793,0.995301487862177,0.88566953797964
"d14_10",0.944313725490196,0.939702427564605,0.986905281536447,0.970076829761423,0.995301487862177,0.997647058823529,0.996867658574785,0.993732863298081,0.996084573218481,0.995301487862177,0.93265465935787,0.988253719655442,0,0.877055599060298,0.996058336618053,0.672670321064996,0.994505494505495,0.357114856918855,0.787000783085356,0.497259201252937,0.817326538612309,0.919342208300705,0.993584603047314,0.77577420619365,0.997650743931088,0.995301487862177,0.680501174628034,0.945967110415035,0.976507439310885,0.991386061080658,0.967110415035239,0.628034455755677,0.992952231793265,0.985121378230227,0.996867658574785,0.84494909945184,0.37744714173845,0.886452623335944,0.944116489571035,0.945626477541371,0.945184025058731,0.993735317149569,0.955364134690681,0.996084573218481,0.995301487862177,0.679718089271731,0.946750195771339
"d14_11",0.982745098039216,0.96945967110415,0.959842863378437,0.935301253538213,0.977290524667189,0.922352941176471,0.972592012529366,0.977281629455543,0.981989036805012,0.917776037588097,0.985904463586531,0.915426781519186,0.877055599060298,0,0.947970043358297,0.989036805011746,0.965463108320251,0.869854958839671,0.880971025841817,0.862176977290525,0.883183065464524,0.985904463586531,0.919005613472334,0.914543316346531,0.955364134690681,0.930305403288958,0.994518402505873,0.981989036805012,0.959279561472201,0.88566953797964,0.931088488645262,0.998433829287392,0.972592012529366,0.992169146436962,0.995301487862177,0.90602975724354,0.880971025841817,0.963978073610024,0.996064541519087,0.977147360126083,0.985121378230227,0.994518402505873,0.972592012529366,0.961628817541112,0.956147220046985,0.991386061080658,0.991386061080658
"d14_13",0.940781681800237,0.965313362238865,0.843447669305189,0.844462540716612,0.932203389830508,0.945519147256218,0.904611746156878,0.899842271293375,0.927473393772172,0.953488372093023,0.962948364209697,0.939298383918013,0.996058336618053,0.947970043358297,0,0.996058336618053,0.887791386803635,0.972375690607735,0.98659834450138,0.950335041387465,0.88318863456985,0.962160031533307,0.805409769882923,0.927387529597474,0.95743003547497,0.884903429247142,0.993693338588885,0.91564840362633,0.932203389830508,0.862041781631849,0.903035080804099,0.975561687031927,0.940086716594403,0.97240835632637,0.979503350413875,0.98659834450138,0.995270003941663,0.912495072920773,0.764659270998415,0.815152717175724,0.931415057154119,0.967678360268033,0.91643673630272,0.898305084745763,0.87386677177769,0.993693338588885,0.968466692944423
"d14_14",0.995294117647059,0.992169146436962,0.989524225229158,0.970885564092196,0.994518402505873,0.996862745098039,0.996867658574785,0.99686643164904,0.993735317149569,0.998433829287392,0.93265465935787,0.996084573218481,0.672670321064996,0.989036805011746,0.996058336618053,0,0.992935635792779,0.95766366130929,0.991386061080658,0.844166014095536,0.86671893375147,0.971808927173062,0.995990376904571,0.77734221873775,0.997650743931088,0.996084573218481,0.150352388410337,0.995301487862177,0.984338292873923,0.990602975724354,0.990602975724354,0.49804228660924,0.996084573218481,0.988253719655442,0.997650743931088,0.98981989036805,0.992169146436962,0.935787000783085,0.99685163321527,0.996847911741529,0.996867658574785,0.992169146436962,0.953797963978074,0.994518402505873,0.994518402505873,0.283476898981989,0.996867658574785
"d14_16",0.819968553459119,0.921507064364207,0.854704595185996,0.823267126064045,0.791208791208791,0.900943396226415,0.744897959183674,0.733019238319592,0.754317111459969,0.934850863422292,0.927001569858713,0.868131868131868,0.994505494505495,0.965463108320251,0.887791386803635,0.992935635792779,0,0.85147347740668,0.967032967032967,0.841444270015699,0.831041257367387,0.908163265306122,0.856109324758842,0.816110019646365,0.910518053375196,0.722919937205652,0.978806907378336,0.703296703296703,0.810832025117739,0.807692307692308,0.775510204081633,0.861067503924647,0.974097331240188,0.746467817896389,0.945839874411303,0.889324960753532,0.949764521193093,0.82967032967033,0.912426035502959,0.936808846761453,0.879120879120879,0.84850863422292,0.740188383045526,0.778649921507064,0.803767660910518,0.990580847723705,0.78414442700157
"d14_17",0.912053396152336,0.945119560956488,0.938811188811189,0.91417004048583,0.905919247353979,0.959952885747939,0.891807134457076,0.897254901960784,0.901215209721678,0.964719717757742,0.925519404155233,0.950607604860839,0.357114856918855,0.869854958839671,0.972375690607735,0.95766366130929,0.85147347740668,0,0.812622500980008,0.575068600548804,0.918367346938776,0.901215209721678,0.956643918105179,0.886970172684458,0.976479811838495,0.901215209721678,0.951391611132889,0.875343002744022,0.932575460603685,0.916895335162681,0.914543316346531,0.888671109368875,0.994511956095649,0.891023128185025,0.974911799294394,0.836142689141513,0.338298706389651,0.907487259898079,0.965327029156816,0.964497041420118,0.950607604860839,0.931007448059584,0.903567228537828,0.932575460603685,0.927871422971384,0.967071736573893,0.926303410427283
"d14_20",0.819607843137255,0.676585747846515,0.981667394151026,0.978972907399919,0.978856695379796,0.986666666666667,0.978856695379796,0.979631805718762,0.9796397807361,0.988253719655442,0.986687548942835,0.984338292873923,0.787000783085356,0.880971025841817,0.98659834450138,0.991386061080658,0.967032967032967,0.812622500980008,0,0.606891151135474,0.935711485691886,0.667971808927173,0.987169206094627,0.981183849470796,0.989036805011746,0.978856695379796,0.995301487862177,0.884886452623336,0.980422866092404,0.984338292873923,0.952231793265466,0.872357086922475,0.992169146436962,0.981989036805012,0.531714956930305,0.555207517619421,0.830070477682067,0.681284259984338,0.68280204643841,0.792750197005516,0.675019577133908,0.984338292873923,0.985904463586531,0.982772122161316,0.989036805011746,0.997650743931088,0.669537979639781
"d14_22",0.76,0.733750978856695,0.924923614142296,0.91346542660736,0.91229444009397,0.951372549019608,0.911511354737666,0.903642773207991,0.91229444009397,0.962411902897416,0.873923257635082,0.927173061863743,0.497259201252937,0.862176977290525,0.950335041387465,0.844166014095536,0.841444270015699,0.575068600548804,0.606891151135474,0,0.747549980399843,0.711824588880188,0.93504410585405,0.749901999215994,0.97337509788567,0.888018794048551,0.830853563038371,0.778386844166014,0.90602975724354,0.949099451840251,0.908379013312451,0.667188723570869,0.981989036805012,0.890368050117463,0.976507439310885,0.629600626468285,0.660140955364135,0.672670321064996,0.761511216056671,0.764381402679275,0.748629600626468,0.924823805794832,0.883320281910728,0.920908379013312,0.934220830070478,0.852779953014879,0.716523101018011
