"","d0_11","d0_13","d0_14","d0_2","d0_20","d0_22","d0_3","d0_4","d0_5","d0_6","d0_7","d0_8","d14_10","d14_11","d14_13","d14_14","d14_16","d14_17","d14_20","d14_22","d14_24","d14_25","d14_26","d14_4","d14_5","d14_6","d14_7","d14_8","d7_10","d7_11","d7_12","d7_13","d7_16","d7_17","d7_2","d7_20","d7_22","d7_24","d7_25","d7_26","d7_27","d7_3","d7_4","d7_5","d7_6","d7_7","d7_8"
"d0_7",0.707230563079352,0.770933984230301,0.750243528055041,0.731567594846276,0.706268172685095,0.799994521057954,0.702130392291756,0.679298001565639,0.695760571977985,0.693907296414879,0,0.693427899446966,0.807825516880323,0.822293857495863,0.75729174487513,0.798404764806784,0.701098050587473,0.777487580862908,0.811416341098781,0.754798931048437,0.687763760795757,0.799157083745002,0.751301418884704,0.720412492838342,0.80208188635064,0.722588631199081,0.771871263551064,0.745633820512009,0.752506978665755,0.727037156820994,0.748826660988938,0.746360486421224,0.741621284839232,0.794440646877672,0.789320945824557,0.795290159401803,0.851264063381754,0.70952433286411,0.818931647309099,0.798489985758339,0.744494459203494,0.794864831877559,0.691635299356967,0.726582383516308,0.746074043986525,0.530436313731223,0.77602421818467
"d0_8",0.511701081038755,0.647133735863373,0.566167072177355,0.522164832214782,0.492777228001128,0.629905440630262,0.483888296205624,0.447243996208472,0.443308177610827,0.491747652842991,0.693427899446966,0,0.764832655540046,0.623331167035226,0.585524713568237,0.806819497159823,0.493325842628987,0.651824717911084,0.775620924920402,0.65334440575981,0.499178316381326,0.7635297794751,0.520717488430228,0.5549149365047,0.586984159811413,0.452813532727394,0.743660261738729,0.52013418444188,0.560072231326479,0.494459855704233,0.493421133345313,0.676510686830982,0.582993972124185,0.60997869262687,0.76018219633466,0.710583466883373,0.769721809951727,0.608163753567985,0.684075269658051,0.68047163001188,0.628882761040276,0.588334075437956,0.514014119968645,0.518363625804122,0.584444374631283,0.754629490605056,0.662195826809255
"d14_10",0.67871522825504,0.660460857896018,0.694214586902048,0.710152378428575,0.727131087836959,0.797713880394673,0.710307609407557,0.719192245729596,0.711351752402993,0.723196683226411,0.807825516880323,0.764832655540046,0,0.727380416003851,0.730389141852552,0.578440214603638,0.722913792035387,0.276265851147753,0.535113092355635,0.351116709034491,0.613707986840613,0.722581090780944,0.708978949847455,0.538249670164384,0.751566455373689,0.726905574001616,0.573079926253938,0.676132918127928,0.778441435439331,0.725186941881398,0.732716178176291,0.407975500222229,0.679899356236455,0.815859578408597,0.740801630348343,0.657481224593504,0.323638250311082,0.651638815815361,0.685525678614364,0.683100633010741,0.696520530492574,0.74118656254011,0.735100250680945,0.747005767679891,0.747896188070343,0.605832779350001,0.711023642917675
"d14_11",0.676071665171503,0.698387939656195,0.684988201733234,0.65884308355777,0.666275406031679,0.672187102145792,0.6706832125346,0.663497134553908,0.654838053888065,0.551707196428449,0.822293857495863,0.623331167035226,0.727380416003851,0,0.589832951859141,0.889530646821105,0.653180174532764,0.644428105954204,0.74571230331517,0.657432752969421,0.578735512898359,0.83162805759357,0.588771181566771,0.623693395582569,0.616762464657772,0.616509405258126,0.863036515682234,0.65101408898562,0.615349848149715,0.592783091598704,0.622509263653596,0.743454423237844,0.66388429037131,0.70370546914166,0.861030155062462,0.731320022316406,0.70267481102375,0.688477734968768,0.686674292546837,0.731896003615621,0.724052771957324,0.659301992012555,0.656550928351866,0.615426811174797,0.655480556386852,0.841559766644599,0.727949386166631
"d14_13",0.579810701834637,0.649322049941942,0.57780117578657,0.544406594104206,0.550311418455156,0.653243455140232,0.545998000484316,0.524575666096427,0.532235206565198,0.537900043231279,0.75729174487513,0.585524713568237,0.730389141852552,0.589832951859141,0,0.824909728561452,0.53807830456384,0.662214136375231,0.724785367462306,0.646908843497624,0.510179311528794,0.77262931940046,0.508878160082871,0.583473216969988,0.628832482383632,0.502627334998916,0.790856131108433,0.567684196643993,0.562702645313926,0.516740581921169,0.530617496174262,0.674914995794533,0.550547278717893,0.691440066621959,0.759939164318214,0.736889545843986,0.753406874315674,0.611154942159837,0.58533311654664,0.619012193721154,0.622869641619904,0.608891745606526,0.550965978657944,0.513024261069067,0.517404581718464,0.772922644026153,0.701061643411021
"d14_14",0.790146369758792,0.833373054330579,0.720281185109936,0.758107889162649,0.773364832859093,0.872447093174908,0.76097227992988,0.775202887039882,0.770748063356267,0.788882837899929,0.798404764806784,0.806819497159823,0.578440214603638,0.889530646821105,0.824909728561452,0,0.771338093443895,0.807375034383401,0.699987026150033,0.699081627906268,0.705102561157205,0.80918409101024,0.80366365746932,0.593252916385323,0.801827594139239,0.795047614677963,0.103797535379536,0.77367376785993,0.843802456469929,0.80088518486301,0.808816936652599,0.410403187811318,0.774489020150681,0.874936059574541,0.553367089507448,0.828139949387419,0.856396982575158,0.767261195289349,0.848093736679694,0.798550600534288,0.817855645209447,0.823687450479186,0.785321437685568,0.81194749345316,0.818857777921258,0.269728142572954,0.82873398569564
"d14_16",0.465785803253209,0.619242347188245,0.475541378801324,0.427900578229345,0.376201607203935,0.640868293962084,0.376745533291574,0.355450724399947,0.363627629134034,0.483298320465159,0.701098050587473,0.493325842628987,0.722913792035387,0.653180174532764,0.53807830456384,0.771338093443895,0,0.618939495047467,0.709076360101522,0.596721056057072,0.442428567446935,0.730709868697182,0.459369940447519,0.482026268210147,0.560700874783009,0.347086799191977,0.719625728468407,0.36851257530404,0.507869375628576,0.381209359141893,0.40051729316497,0.611862360357361,0.529888661728857,0.54934184644651,0.696004439039751,0.687823640408607,0.766587252118338,0.503382247208628,0.663948542720414,0.610536942972566,0.585969693312986,0.519639029029036,0.409800814137695,0.41936221504788,0.467998706590832,0.704390141568352,0.589524792990103
"d14_17",0.632931652824583,0.62271663601285,0.656019736147467,0.610663980991544,0.630029267347202,0.691958039727964,0.631805278705331,0.618543147999112,0.621444636396613,0.639800332304239,0.777487580862908,0.651824717911084,0.276265851147753,0.644428105954204,0.662214136375231,0.807375034383401,0.618939495047467,0,0.630009350296063,0.409493085119163,0.65636864414325,0.707528276669813,0.601726563935832,0.633258014008224,0.662630329630518,0.623038037182905,0.771507820701772,0.602463037347686,0.664547439178775,0.62993027773211,0.643343175781996,0.616349302098641,0.647920987940492,0.676303419739471,0.779784914936278,0.646482342527403,0.24842485981657,0.647593508127573,0.644038166153913,0.69258857799267,0.661675223837484,0.655661921945773,0.652346098453807,0.640828338599071,0.669448749908486,0.804611109706468,0.669079612133945
"d14_20",0.551626869206379,0.425695799376283,0.641387491279402,0.707651042550152,0.725582267297077,0.827821593026377,0.705091938807188,0.723514157577887,0.709044542859309,0.742370415797473,0.811416341098781,0.775620924920402,0.535113092355635,0.74571230331517,0.724785367462306,0.699987026150033,0.709076360101522,0.630009350296063,0,0.386672545128191,0.696202048712332,0.481758930067394,0.720271976411175,0.671775389792675,0.753917402733156,0.729647612112919,0.688447538787097,0.63997481856335,0.800523558685321,0.724271214480221,0.731073715265285,0.525065556029658,0.714310878763302,0.85083636867924,0.45349859445531,0.40204301135002,0.670243068591579,0.439058575919524,0.430382423016767,0.517085075049762,0.436093827498286,0.782840343802625,0.759729306389288,0.748174229694773,0.743779425611316,0.716768291582264,0.449805017888062
"d14_22",0.45377170383458,0.422740717937893,0.619248626051043,0.608634807768148,0.614181699313159,0.723634793931675,0.60832586335142,0.601135366076036,0.597761309433322,0.625091512469932,0.754798931048437,0.65334440575981,0.351116709034491,0.657432752969421,0.646908843497624,0.699081627906268,0.596721056057072,0.409493085119163,0.386672545128191,0,0.516454621583814,0.528172448784621,0.599818128395261,0.518908873675179,0.683930986131124,0.605900693879672,0.661636882576706,0.505803815916882,0.682063105522476,0.627953888879971,0.626603249837431,0.406610305811241,0.606758267640464,0.724879038444629,0.738349969039831,0.441115734763896,0.51613222764313,0.409010969200996,0.448073211132956,0.466155052565576,0.465440707442541,0.648623883731404,0.6278934907806,0.638558116272286,0.651019600917199,0.702282887656582,0.474281001284468
