"","ID","calf","diagnostic","day","Sickness","Antibiotic","sample","d","Species","RA","RelAbund","comparison"
"116","d7_24","24","NoResp","h7","Never","Yes","d7_24","7","ASV1472",0,0,"d7"
"117","d7_25","25","NoResp","h7","Never","No","d7_25","7","ASV1374",0,0,"d7"
"118","d7_25","25","NoResp","h7","Never","No","d7_25","7","ASV1375",0,0,"d7"
"119","d7_25","25","NoResp","h7","Never","No","d7_25","7","ASV1377",0,0,"d7"
"120","d7_25","25","NoResp","h7","Never","No","d7_25","7","ASV1472",0,0,"d7"
"121","d7_26","26","NoResp","h7","Never","Yes","d7_26","7","ASV1374",0,0,"d7"
"122","d7_26","26","NoResp","h7","Never","Yes","d7_26","7","ASV1375",0,0,"d7"
"123","d7_26","26","NoResp","h7","Never","Yes","d7_26","7","ASV1377",0,0,"d7"
"124","d7_26","26","NoResp","h7","Never","Yes","d7_26","7","ASV1472",0,0,"d7"
"125","d7_27","27","NoResp","h7","Never","Yes","d7_27","7","ASV1374",0,0,"d7"
"126","d7_27","27","NoResp","h7","Never","Yes","d7_27","7","ASV1375",0.00109649122807018,0.109649122807018,"d7"
"127","d7_27","27","NoResp","h7","Never","Yes","d7_27","7","ASV1377",0,0,"d7"
"128","d7_27","27","NoResp","h7","Never","Yes","d7_27","7","ASV1472",0,0,"d7"
"129","d14_2","2","NoResp","h14","Never","No","d14_2","14","ASV1374",0,0,"d14"
"130","d14_2","2","NoResp","h14","Never","No","d14_2","14","ASV1375",0,0,"d14"
"131","d14_2","2","NoResp","h14","Never","No","d14_2","14","ASV1377",0,0,"d14"
"132","d14_2","2","NoResp","h14","Never","No","d14_2","14","ASV1472",0,0,"d14"
"133","d14_3","3","NoResp","h14","Never","Yes","d14_3","14","ASV1374",0,0,"d14"
"134","d14_3","3","NoResp","h14","Never","Yes","d14_3","14","ASV1375",0,0,"d14"
"135","d14_3","3","NoResp","h14","Never","Yes","d14_3","14","ASV1377",0,0,"d14"
"136","d14_3","3","NoResp","h14","Never","Yes","d14_3","14","ASV1472",0,0,"d14"
"137","d14_4","4","NoResp","h14","Never","No","d14_4","14","ASV1374",0,0,"d14"
"138","d14_4","4","NoResp","h14","Never","No","d14_4","14","ASV1375",0.00725115359261701,0.725115359261701,"d14"
"139","d14_4","4","NoResp","h14","Never","No","d14_4","14","ASV1377",0,0,"d14"
"140","d14_4","4","NoResp","h14","Never","No","d14_4","14","ASV1472",0.000659195781147001,0.0659195781147001,"d14"
"141","d14_5","5","NoResp","h14","Never","Yes","d14_5","14","ASV1374",0,0,"d14"
"142","d14_5","5","NoResp","h14","Never","Yes","d14_5","14","ASV1375",0,0,"d14"
