"","Genus","d","Abundance.average","overall.max"
"119","Streptococcus","0",0.0430567388840039,0.0988850747272853
"120","Streptococcus","5",0.0320461864388758,0.0988850747272853
"121","Treponema 2","1",0.00360097703716379,0.0111718169909219
"122","Treponema 2","0",0,0.0111718169909219
"123","Treponema 2","5",0.00446152224798376,0.0111718169909219
"124","Treponema 2","10",0.0111718169909219,0.0111718169909219
"125","Tyzzerella 4","5",0.0104997158398961,0.012635847925754
"126","Tyzzerella 4","10",0.012635847925754,0.012635847925754
"127","Tyzzerella 4","0",0,0.012635847925754
"128","Tyzzerella 4","1",0.0042042042042042,0.012635847925754
"129","Veillonella","10",0.0104677349399111,0.0397556635983871
"130","Veillonella","1",0.028921063025468,0.0397556635983871
"131","Veillonella","0",0.011471199499021,0.0397556635983871
"132","Veillonella","5",0.0397556635983871,0.0397556635983871
